"X";"Y";"Z";"PZ";"DZ";"PX";"DX";
"-554.409";"1601.69";"1206.14";"603.07";"-0";"-277.204";"-0";"1.55579e-307";
"-548.035";"1609.85";"1210.01";"605.003";"-180.921";"-274.017";"110.882";"1.55579e-307";
"-542.915";"1616.9";"1212.93";"606.463";"-181.211";"-271.458";"110.244";"1.55579e-307";
"-536.561";"1624.84";"1216.77";"608.385";"-181.454";"-268.281";"109.691";"1.55579e-307";
"-531.712";"1630.45";"1220.05";"610.026";"-181.719";"-265.856";"109.096";"1.55579e-307";
"-526.051";"1636.28";"1224.42";"612.211";"-181.977";"-263.025";"108.545";"1.55579e-307";
"-522.219";"1641.14";"1228.45";"614.224";"-182.258";"-261.109";"107.989";"1.55579e-307";
"-518.946";"1646.69";"1234.37";"617.183";"-182.545";"-259.473";"107.483";"1.55579e-307";
"-517.483";"1650.87";"1240.04";"620.021";"-182.871";"-258.741";"107.021";"1.55579e-307";
"-518.068";"1655.8";"1248.88";"624.44";"-183.22";"-259.034";"106.63";"1.55579e-307";
"-520.294";"1659.53";"1257.51";"628.753";"-183.631";"-260.147";"106.328";"1.55579e-307";
"-524.054";"1663.21";"1267.32";"633.662";"-184.085";"-262.027";"106.122";"1.55579e-307";
"-531.446";"1668.05";"1281.59";"640.794";"-184.586";"-265.723";"106.012";"1.55579e-307";
"-539.176";"1671.6";"1294.32";"647.158";"-185.175";"-269.588";"106.034";"1.55579e-307";
"-551.018";"1676.16";"1311.91";"655.955";"-185.816";"-275.509";"106.162";"1.55579e-307";
"-562.354";"1679.71";"1327.13";"663.566";"-186.547";"-281.177";"106.432";"1.55579e-307";
"-578.414";"1682.75";"1347.42";"673.709";"-187.33";"-289.207";"106.809";"1.55579e-307";
"-592.938";"1684.8";"1364.43";"682.217";"-188.199";"-296.469";"107.331";"1.55579e-307";
"-612.45";"1686.51";"1386.57";"693.283";"-189.114";"-306.225";"107.957";"1.55579e-307";
"-629.74";"1687.68";"1404.85";"702.424";"-190.107";"-314.87";"108.721";"1.55579e-307";
"-648.34";"1688.84";"1423.41";"711.704";"-191.138";"-324.17";"109.583";"1.55579e-307";
"-673.183";"1689.95";"1447.09";"723.544";"-192.204";"-336.591";"110.539";"1.55579e-307";
"-694.21";"1691.1";"1466.24";"733.118";"-193.334";"-347.105";"111.635";"1.55579e-307";
"-721.994";"1691.92";"1490.12";"745.059";"-194.49";"-360.997";"112.818";"1.55579e-307";
"-745.273";"1693.05";"1508.89";"754.447";"-195.7";"-372.636";"114.133";"1.55579e-307";
"-775.169";"1694.04";"1532.34";"766.169";"-196.925";"-387.585";"115.53";"1.55579e-307";
"-800.612";"1693.76";"1550.05";"775.025";"-198.191";"-400.306";"117.05";"1.55579e-307";
"-826.378";"1693.97";"1567.51";"783.754";"-199.462";"-413.189";"118.645";"1.55579e-307";
"-859.534";"1694.17";"1588.42";"794.211";"-200.736";"-429.767";"120.31";"1.55579e-307";
"-886.351";"1694.24";"1604.3";"802.15";"-202.03";"-443.175";"122.089";"1.55579e-307";
"-913.673";"1694.37";"1619.32";"809.659";"-203.317";"-456.837";"123.929";"1.55579e-307";
"-948.915";"1694.16";"1636.87";"818.437";"-204.594";"-474.457";"125.826";"1.55579e-307";
"-977.135";"1693.63";"1649.84";"824.922";"-205.873";"-488.568";"127.824";"1.55579e-307";
"-1005.61";"1692.8";"1661.65";"830.824";"-207.134";"-502.803";"129.873";"1.55579e-307";
"-1041.77";"1691.27";"1675.12";"837.562";"-209.205";"-520.884";"132.608";"1.55579e-307";
"-1070.51";"1689.79";"1684.66";"842.329";"-211.319";"-535.256";"135.6";"1.55579e-307";
"-1099.57";"1688.12";"1693.13";"846.565";"-213.463";"-549.786";"138.797";"1.55579e-307";
"-1135.93";"1686.5";"1702.34";"851.17";"-215.628";"-567.965";"142.21";"1.55579e-307";
"-1164.92";"1685.01";"1708.61";"854.303";"-217.82";"-582.462";"145.872";"1.55579e-307";
"-1194.02";"1683.96";"1713.89";"856.946";"-220.021";"-597.011";"149.744";"1.55579e-307";
"-1223.26";"1682.59";"1718.24";"859.12";"-222.228";"-611.629";"153.815";"1.55579e-307";
"-1259.82";"1680.88";"1722.3";"861.151";"-224.427";"-629.909";"158.084";"1.55579e-307";
"-1288.85";"1679.42";"1724.59";"862.293";"-226.619";"-644.424";"162.583";"1.55579e-307";
"-1318.02";"1677.91";"1725.76";"862.878";"-228.782";"-659.012";"167.254";"1.55579e-307";
"-1346.9";"1675.93";"1726.24";"863.119";"-230.91";"-673.452";"172.089";"1.55579e-307";
"-1382.92";"1673.05";"1725.47";"862.736";"-232.996";"-691.458";"177.076";"1.55579e-307";
"-1411.41";"1670.17";"1723.94";"861.968";"-235.014";"-705.707";"182.236";"1.55579e-307";
"-1447";"1667.41";"1720.94";"860.472";"-236.967";"-723.501";"187.522";"1.55579e-307";
"-1475.38";"1665.38";"1717.52";"858.76";"-238.826";"-737.689";"192.953";"1.55579e-307";
"-1510.88";"1663.2";"1712.13";"856.064";"-240.6";"-755.438";"198.486";"1.55579e-307";
"-1539.27";"1661.49";"1707.1";"853.552";"-242.258";"-769.633";"204.137";"1.55579e-307";
"-1574.82";"1659.89";"1699.59";"849.796";"-243.816";"-787.411";"209.873";"1.55579e-307";
"-1603.08";"1658.61";"1692.52";"846.261";"-245.238";"-801.541";"215.705";"1.55579e-307";
"-1630.71";"1657.02";"1684.7";"842.352";"-246.546";"-815.357";"221.604";"1.55579e-307";
"-1665.17";"1654.45";"1673.82";"836.908";"-247.734";"-832.585";"227.558";"1.55579e-307";
"-1692.06";"1652.15";"1664.2";"832.099";"-248.764";"-846.031";"233.57";"1.55579e-307";
"-1726.48";"1649.75";"1651.58";"825.791";"-249.664";"-863.242";"239.618";"1.55579e-307";
"-1753.02";"1648.29";"1640.66";"820.331";"-250.398";"-876.509";"245.706";"1.55579e-307";
"-1779.56";"1646.85";"1629.49";"814.744";"-250.997";"-889.78";"251.813";"1.55579e-307";
"-1811.94";"1645.57";"1615.21";"807.603";"-251.439";"-905.968";"257.9";"1.55579e-307";
"-1836.61";"1644.63";"1603.17";"801.586";"-251.735";"-918.304";"264.03";"1.55579e-307";
"-1866.57";"1643.8";"1588.11";"794.053";"-251.897";"-933.285";"270.152";"1.55579e-307";
"-1888.95";"1642.44";"1575.98";"787.988";"-251.896";"-944.474";"276.255";"1.55579e-307";
"-1914.52";"1640.43";"1560.82";"780.41";"-251.767";"-957.259";"282.332";"1.55579e-307";
"-1933.22";"1638.69";"1549.19";"774.597";"-251.501";"-966.61";"288.397";"1.55579e-307";
"-1953.74";"1636.58";"1535.15";"767.577";"-251.102";"-976.869";"294.363";"1.55579e-307";
"-1967.97";"1634.92";"1524.44";"762.222";"-250.581";"-983.984";"300.282";"1.55579e-307";
"-1983.08";"1633.09";"1512.19";"756.095";"-249.957";"-991.542";"306.114";"1.55579e-307";
"-1992.48";"1631.92";"1503.06";"751.53";"-249.217";"-996.241";"311.819";"1.55579e-307";
"-2002.07";"1631.25";"1492.73";"746.367";"-248.391";"-1001.04";"317.407";"1.55579e-307";
"-2007.1";"1630.29";"1485.56";"742.781";"-247.48";"-1003.55";"322.877";"1.55579e-307";
"-2010.8";"1628.67";"1477.52";"738.76";"-246.495";"-1005.4";"328.156";"1.55579e-307";
"-2011.89";"1627.39";"1471.61";"735.803";"-245.445";"-1005.95";"333.283";"1.55579e-307";
"-2011.85";"1625.58";"1465.5";"732.748";"-244.343";"-1005.93";"338.24";"1.55579e-307";
"-2009.98";"1624.35";"1461.03";"730.516";"-243.195";"-1004.99";"343.019";"1.55579e-307";
"-2005.91";"1622.82";"1456.23";"728.117";"-242.007";"-1002.95";"347.566";"1.55579e-307";
"-2001.53";"1621.84";"1453.06";"726.531";"-240.787";"-1000.77";"351.911";"1.55579e-307";
"-1995.87";"1620.98";"1450";"725";"-239.548";"-997.933";"356.054";"1.55579e-307";
"-1988.06";"1618.98";"1446.94";"723.469";"-238.292";"-994.03";"359.987";"1.55579e-307";
"-1980.93";"1617.02";"1444.57";"722.283";"-237.026";"-990.464";"363.654";"1.55579e-307";
"-1971.06";"1613.76";"1441.99";"720.995";"-235.756";"-985.528";"367.106";"1.55579e-307";
"-1962.46";"1611.96";"1440.26";"720.131";"-234.488";"-981.229";"370.282";"1.55579e-307";
"-1951.99";"1610.48";"1438.51";"719.255";"-233.228";"-975.997";"373.234";"1.55579e-307";
"-1942.75";"1607.13";"1436.59";"718.295";"-231.984";"-971.373";"375.908";"1.55579e-307";
"-1932.4";"1605.94";"1435.26";"717.628";"-230.754";"-966.202";"378.353";"1.55579e-307";
"-1921.24";"1602.97";"1433.35";"716.673";"-229.553";"-960.618";"380.52";"1.55579e-307";
"-1913.57";"1600.66";"1432.03";"716.016";"-228.375";"-956.787";"382.448";"1.55579e-307";
"-1903.93";"1597.61";"1430.64";"715.318";"-227.226";"-951.966";"384.163";"1.55579e-307";
